92-U-238(&gamma;,2n) ENDF/B-VII.1
1.12682E7,0.0
1.13682E7,0.0011173
1.14682E7,0.00391601
1.15682E7,0.00763668
1.16682E7,0.0122938
1.17682E7,0.018381
1.18682E7,0.0263992
1.19682E7,0.0368492
1.20682E7,0.05016
1.21682E7,0.0659713
1.22682E7,0.0834337
1.24682E7,0.119886
1.25682E7,0.13724
1.26682E7,0.153582
1.27682E7,0.169026
1.28682E7,0.18369
1.29682E7,0.197691
1.30682E7,0.211124
1.31682E7,0.223936
1.32682E7,0.236005
1.33682E7,0.247206
1.34682E7,0.257416
1.35682E7,0.266511
1.36682E7,0.274368
1.37682E7,0.280863
1.38682E7,0.285874
1.39682E7,0.289275
1.40682E7,0.290936
1.41682E7,0.290796
1.42682E7,0.289273
1.47682E7,0.276395
1.48682E7,0.273132
1.49682E7,0.268968
1.50682E7,0.26359
1.51682E7,0.256975
1.52682E7,0.249281
1.53682E7,0.240667
1.54682E7,0.231293
1.56682E7,0.2109
1.60682E7,0.168
1.62682E7,0.147547
1.64682E7,0.128078
1.65682E7,0.11871
1.66682E7,0.109586
1.67682E7,0.100705
1.68682E7,0.0920662
1.69682E7,0.0836695
1.70682E7,0.0755166
1.71682E7,0.0676372
1.72682E7,0.060078
1.73682E7,0.0528864
1.74682E7,0.0461095
1.75682E7,0.0397944
1.76682E7,0.0339884
1.77682E7,0.0287387
1.78682E7,0.0240924
1.79682E7,0.0200967
1.80682E7,0.0167921
1.81682E7,0.014147
1.82682E7,0.0120847
1.83682E7,0.0105277
1.84682E7,0.00939895
1.85682E7,0.00862096
1.86682E7,0.00811646
1.87682E7,0.00780815
1.88682E7,0.00761871
1.89682E7,0.00747084
1.90682E7,0.00729177
1.91682E7,0.007059
1.92682E7,0.00678111
1.93682E7,0.00646715
1.94682E7,0.00612619
1.96682E7,0.00539941
1.98682E7,0.00467319
1.99682E7,0.00433292
2.0E7,0.0040163
